epoch,train_acc,val_acc,train_loss,val_loss
1,0.8394520282745361,0.9486607313156128,0.5094190835952759,0.166704460978508
2,0.9528766870498657,0.9620535969734192,0.15602026879787445,0.10888964682817459
3,0.9753424525260925,0.9620535969734192,0.07645761221647263,0.13055112957954407
4,0.983561635017395,0.9598214030265808,0.053019605576992035,0.10400927811861038
5,0.9906849265098572,0.9575892686843872,0.03738129884004593,0.12044309824705124
6,0.996712327003479,0.9464285969734192,0.02278013341128826,0.11724589020013809
7,0.9852054715156555,0.9263392686843872,0.06695684045553207,0.2455943524837494
8,0.9884931445121765,0.9575892686843872,0.050390951335430145,0.10988809913396835
9,0.9956164360046387,0.9508928656578064,0.023925866931676865,0.15018820762634277
10,0.9945205450057983,0.9575892686843872,0.01675567775964737,0.12719108164310455
11,0.9945205450057983,0.9464285969734192,0.02307407185435295,0.15007734298706055
12,0.9950684905052185,0.953125,0.014364223927259445,0.11506719887256622
13,0.9994520545005798,0.9665178656578064,0.007727934047579765,0.11602073162794113
14,0.9912328720092773,0.9620535969734192,0.0224032960832119,0.11657501757144928
15,0.9950684905052185,0.9598214030265808,0.019118094816803932,0.1593674272298813
16,0.990136981010437,0.96875,0.029154494404792786,0.07659219205379486
17,0.996712327003479,0.953125,0.010069484822452068,0.14523300528526306
18,0.9983561635017395,0.9709821343421936,0.007024046033620834,0.10416199266910553
19,0.9972602725028992,0.9575892686843872,0.009633309207856655,0.1841709166765213
20,0.9917808175086975,0.9642857313156128,0.021682292222976685,0.11545151472091675
21,0.8493150472640991,0.9330357313156128,0.48115378618240356,0.2300092726945877
22,0.8926027417182922,0.9129464030265808,0.32457324862480164,0.266786128282547
23,0.9123287796974182,0.9017857313156128,0.264304518699646,0.28759869933128357
24,0.9331507086753845,0.9196428656578064,0.19698020815849304,0.257186621427536
25,0.9463013410568237,0.9285714030265808,0.17806002497673035,0.2407076507806778
