epoch,train_acc,val_acc,train_loss,val_loss
1,0.7484931349754333,0.8370535969734192,1.1778064966201782,0.955325186252594
2,0.8980821967124939,0.8839285969734192,0.8145468831062317,0.8558425307273865
3,0.9336986541748047,0.9107142686843872,0.7491475939750671,0.7892374396324158
4,0.9550684690475464,0.9040178656578064,0.698388397693634,0.789155125617981
5,0.9583561420440674,0.9285714030265808,0.6808933019638062,0.7465747594833374
6,0.9665753245353699,0.9330357313156128,0.6502595543861389,0.7313460111618042
7,0.9786301255226135,0.9263392686843872,0.6326580047607422,0.7380305528640747
8,0.9797260165214539,0.9397321343421936,0.6266462206840515,0.7085543870925903
9,0.9742465615272522,0.9196428656578064,0.626928448677063,0.7338954210281372
10,0.9791780710220337,0.9464285969734192,0.6253036856651306,0.7290450930595398
11,0.9846575260162354,0.9174107313156128,0.6120625734329224,0.7457503080368042
12,0.9879451990127563,0.9553571343421936,0.5979946851730347,0.6713043451309204
13,0.9917808175086975,0.9464285969734192,0.5849553346633911,0.6987385153770447
14,0.990136981010437,0.921875,0.5882594585418701,0.7714778184890747
15,0.9852054715156555,0.9508928656578064,0.5979453325271606,0.7016676664352417
16,0.993424654006958,0.9330357313156128,0.582207441329956,0.718539834022522
17,0.9923287630081177,0.9375,0.582690954208374,0.6929556131362915
18,0.9961643815040588,0.9330357313156128,0.5719701647758484,0.7173784375190735
19,0.9928767085075378,0.9441964030265808,0.5735129714012146,0.6874436736106873
20,0.996712327003479,0.9263392686843872,0.563788652420044,0.6974078416824341
21,0.9720547795295715,0.9397321343421936,0.6679304838180542,0.7014924883842468
22,0.9819177985191345,0.9441964030265808,0.6068100929260254,0.6851588487625122
23,0.9879451990127563,0.9508928656578064,0.5929706692695618,0.6800795197486877
24,0.9912328720092773,0.9598214030265808,0.5798619389533997,0.6783760190010071
25,0.9945205450057983,0.953125,0.5732936263084412,0.6521797180175781
