epoch,train_loss,val_loss,train_acc,val_acc
1,1.231964542036471,0.7384711258323488,0.7521739130434782,0.9414316702819957
2,0.7674097164817478,0.7037717759479928,0.9277173913043478,0.9436008676789588
3,0.6772851296093153,0.6861726167145107,0.9630434782608696,0.9479392624728851
4,0.6524647101112034,0.6864579216518526,0.9733695652173913,0.9501084598698482
5,0.6243846571963766,0.6867711498783882,0.9842391304347826,0.9479392624728851
6,0.6225946597431017,0.6823314604169635,0.9847826086956522,0.9522776572668112
7,0.6105316872182099,0.6936725158236291,0.9875,0.9436008676789588
8,0.6041666435158771,0.6878638548085592,0.991304347826087,0.9457700650759219
9,0.5921299939570219,0.6711920770026598,0.9934782608695653,0.9544468546637744
10,0.5821611881256104,0.6921350906831324,0.996195652173913,0.9457700650759219
11,0.575122302511464,0.6708655328916107,0.9983695652173913,0.9522776572668112
12,0.5821392090424248,0.6847950888559254,0.996195652173913,0.9436008676789588
13,0.5804310482481252,0.6753559858576594,0.996195652173913,0.9479392624728851
14,0.5739657365757486,0.6726357127477187,0.9967391304347826,0.9501084598698482
15,0.5731866385625757,0.6685811992322546,0.9951086956521739,0.9566160520607375
16,0.5717260682064554,0.6783178014248415,0.9972826086956522,0.9501084598698482
17,0.5742003648177437,0.6771021909413782,0.9951086956521739,0.9457700650759219
18,0.5684233183446138,0.6666797103437063,0.9967391304347826,0.9544468546637744
19,0.5736669068751128,0.6718687765510377,0.9983695652173913,0.9631236442516269
20,0.5628443521002064,0.6708566927858134,0.9989130434782608,0.9457700650759219
21,0.5593481794647549,0.667313021072338,0.9989130434782608,0.9522776572668112
22,0.5519216827724291,0.6738460436301739,0.9983695652173913,0.9457700650759219
23,0.5491115813669951,0.6579331711678081,0.9989130434782608,0.9544468546637744
24,0.5484039627987406,0.6546546370760737,0.9983695652173913,0.9479392624728851
25,0.544749349096547,0.6565865011897883,0.9994565217391305,0.9501084598698482
