epoch,train_loss,val_loss,train_acc,val_acc
1,1.4635449870772983,1.0346857752820675,0.6711956521739131,0.8590021691973969
2,0.9567461651304494,0.8854716540417289,0.8608695652173913,0.89587852494577
3,0.8822380065917969,0.839788369915232,0.883695652173913,0.911062906724512
4,0.8604417603948842,0.8240414560487627,0.8902173913043478,0.9197396963123644
5,0.8105625318444294,0.8281032092659179,0.9103260869565217,0.911062906724512
6,0.8033165973165761,0.8078591314158574,0.9206521739130434,0.928416485900217
7,0.8146461424620255,0.8164976982646288,0.9010869565217391,0.9240780911062907
8,0.7749177735784779,0.8114889891183816,0.928804347826087,0.9240780911062907
9,0.7682421901951666,0.803643781295826,0.9282608695652174,0.93058568329718
10,0.7712669320728468,0.8027470961310083,0.9304347826086956,0.9349240780911063
11,0.7631412858548372,0.7984089088543377,0.9358695652173913,0.9240780911062907
12,0.7623420979665674,0.7991293770889398,0.9391304347826087,0.9197396963123644
13,0.7622592148573503,0.7880109649418233,0.9298913043478261,0.9392624728850325
14,0.7575776799865391,0.8131132637859684,0.9353260869565218,0.9197396963123644
15,0.7442264064498569,0.79712235720711,0.9434782608695652,0.928416485900217
16,0.7450678659522015,0.7940492906694557,0.9402173913043478,0.9349240780911063
17,0.7423654390418011,0.7978326267120378,0.9434782608695652,0.9219088937093276
18,0.7352782985438471,0.807252223217565,0.9483695652173914,0.911062906724512
19,0.7318787103113921,0.7939865212895606,0.9472826086956522,0.9370932754880694
20,0.7361054985419564,0.8093448233449279,0.9554347826086956,0.9154013015184381
21,0.743201526351597,0.7791341607844752,0.9423913043478261,0.9262472885032538
22,0.724764535219773,0.7751465659596656,0.9505434782608696,0.93058568329718
23,0.7091399959895922,0.7702670027532185,0.9603260869565218,0.9349240780911063
24,0.7112041198689004,0.774171843316705,0.9543478260869566,0.93058568329718
25,0.7066148234450299,0.768349143533024,0.9576086956521739,0.9327548806941431
